"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.06.2018 01:30 - 01.06.2018 01:45","n/e","n/e"
"01.06.2018 01:45 - 01.06.2018 02:00","n/e","n/e"
"01.06.2018 02:00 - 01.06.2018 02:15","n/e","n/e"
"01.06.2018 02:15 - 01.06.2018 02:30","n/e","n/e"
"01.06.2018 02:30 - 01.06.2018 02:45","n/e","n/e"
"01.06.2018 02:45 - 01.06.2018 03:00","n/e","n/e"
"01.06.2018 03:00 - 01.06.2018 03:15","n/e","n/e"
"01.06.2018 03:15 - 01.06.2018 03:30","n/e","n/e"
"01.06.2018 03:30 - 01.06.2018 03:45","n/e","n/e"
"01.06.2018 03:45 - 01.06.2018 04:00","n/e","n/e"
"01.06.2018 04:00 - 01.06.2018 04:15","n/e","n/e"
"01.06.2018 04:15 - 01.06.2018 04:30","n/e","n/e"
"01.06.2018 04:30 - 01.06.2018 04:45","n/e","n/e"
"01.06.2018 04:45 - 01.06.2018 05:00","n/e","n/e"
"01.06.2018 05:00 - 01.06.2018 05:15","n/e","n/e"
"01.06.2018 05:15 - 01.06.2018 05:30","n/e","n/e"
"01.06.2018 05:30 - 01.06.2018 05:45","n/e","n/e"
"01.06.2018 05:45 - 01.06.2018 06:00","n/e","n/e"
"01.06.2018 06:00 - 01.06.2018 06:15","n/e","n/e"
"01.06.2018 06:15 - 01.06.2018 06:30","n/e","n/e"
"01.06.2018 06:30 - 01.06.2018 06:45","n/e","n/e"
"01.06.2018 06:45 - 01.06.2018 07:00","n/e","n/e"
"01.06.2018 07:00 - 01.06.2018 07:15","n/e","n/e"
"01.06.2018 07:15 - 01.06.2018 07:30","n/e","n/e"
"01.06.2018 07:30 - 01.06.2018 07:45","n/e","n/e"
"01.06.2018 07:45 - 01.06.2018 08:00","n/e","n/e"
"01.06.2018 08:00 - 01.06.2018 08:15","n/e","n/e"
"01.06.2018 08:15 - 01.06.2018 08:30","n/e","n/e"
"01.06.2018 08:30 - 01.06.2018 08:45","n/e","n/e"
"01.06.2018 08:45 - 01.06.2018 09:00","n/e","n/e"
"01.06.2018 09:00 - 01.06.2018 09:15","n/e","n/e"
"01.06.2018 09:15 - 01.06.2018 09:30","n/e","n/e"
"01.06.2018 09:30 - 01.06.2018 09:45","n/e","n/e"
"01.06.2018 09:45 - 01.06.2018 10:00","n/e","n/e"
"01.06.2018 10:00 - 01.06.2018 10:15","n/e","n/e"
"01.06.2018 10:15 - 01.06.2018 10:30","n/e","n/e"
"01.06.2018 10:30 - 01.06.2018 10:45","n/e","n/e"
"01.06.2018 10:45 - 01.06.2018 11:00","n/e","n/e"
"01.06.2018 11:00 - 01.06.2018 11:15","n/e","n/e"
"01.06.2018 11:15 - 01.06.2018 11:30","n/e","n/e"
"01.06.2018 11:30 - 01.06.2018 11:45","n/e","n/e"
"01.06.2018 11:45 - 01.06.2018 12:00","n/e","n/e"
"01.06.2018 12:00 - 01.06.2018 12:15","n/e","n/e"
"01.06.2018 12:15 - 01.06.2018 12:30","n/e","n/e"
"01.06.2018 12:30 - 01.06.2018 12:45","n/e","n/e"
"01.06.2018 12:45 - 01.06.2018 13:00","n/e","n/e"
"01.06.2018 13:00 - 01.06.2018 13:15","n/e","n/e"
"01.06.2018 13:15 - 01.06.2018 13:30","n/e","n/e"
"01.06.2018 13:30 - 01.06.2018 13:45","n/e","n/e"
"01.06.2018 13:45 - 01.06.2018 14:00","n/e","n/e"
"01.06.2018 14:00 - 01.06.2018 14:15","n/e","n/e"
"01.06.2018 14:15 - 01.06.2018 14:30","n/e","n/e"
"01.06.2018 14:30 - 01.06.2018 14:45","n/e","n/e"
"01.06.2018 14:45 - 01.06.2018 15:00","n/e","n/e"
"01.06.2018 15:00 - 01.06.2018 15:15","n/e","n/e"
"01.06.2018 15:15 - 01.06.2018 15:30","n/e","n/e"
"01.06.2018 15:30 - 01.06.2018 15:45","n/e","n/e"
"01.06.2018 15:45 - 01.06.2018 16:00","n/e","n/e"
"01.06.2018 16:00 - 01.06.2018 16:15","n/e","n/e"
"01.06.2018 16:15 - 01.06.2018 16:30","n/e","n/e"
"01.06.2018 16:30 - 01.06.2018 16:45","n/e","n/e"
"01.06.2018 16:45 - 01.06.2018 17:00","n/e","n/e"
"01.06.2018 17:00 - 01.06.2018 17:15","n/e","n/e"
"01.06.2018 17:15 - 01.06.2018 17:30","n/e","n/e"
"01.06.2018 17:30 - 01.06.2018 17:45","n/e","n/e"
"01.06.2018 17:45 - 01.06.2018 18:00","n/e","n/e"
"01.06.2018 18:00 - 01.06.2018 18:15","n/e","n/e"
"01.06.2018 18:15 - 01.06.2018 18:30","n/e","n/e"
"01.06.2018 18:30 - 01.06.2018 18:45","n/e","n/e"
"01.06.2018 18:45 - 01.06.2018 19:00","n/e","n/e"
"01.06.2018 19:00 - 01.06.2018 19:15","n/e","n/e"
"01.06.2018 19:15 - 01.06.2018 19:30","n/e","n/e"
"01.06.2018 19:30 - 01.06.2018 19:45","n/e","n/e"
"01.06.2018 19:45 - 01.06.2018 20:00","n/e","n/e"
"01.06.2018 20:00 - 01.06.2018 20:15","n/e","n/e"
"01.06.2018 20:15 - 01.06.2018 20:30","n/e","n/e"
"01.06.2018 20:30 - 01.06.2018 20:45","n/e","n/e"
"01.06.2018 20:45 - 01.06.2018 21:00","n/e","n/e"
"01.06.2018 21:00 - 01.06.2018 21:15","n/e","n/e"
"01.06.2018 21:15 - 01.06.2018 21:30","n/e","n/e"
"01.06.2018 21:30 - 01.06.2018 21:45","n/e","n/e"
"01.06.2018 21:45 - 01.06.2018 22:00","n/e","n/e"
"01.06.2018 22:00 - 01.06.2018 22:15","n/e","n/e"
"01.06.2018 22:15 - 01.06.2018 22:30","n/e","n/e"
"01.06.2018 22:30 - 01.06.2018 22:45","n/e","n/e"
"01.06.2018 22:45 - 01.06.2018 23:00","n/e","n/e"
"01.06.2018 23:00 - 01.06.2018 23:15","n/e","n/e"
"01.06.2018 23:15 - 01.06.2018 23:30","n/e","n/e"
"01.06.2018 23:30 - 01.06.2018 23:45","n/e","n/e"
"01.06.2018 23:45 - 02.06.2018 00:00","n/e","n/e"
"02.06.2018 00:00 - 02.06.2018 00:15","n/e","n/e"
"02.06.2018 00:15 - 02.06.2018 00:30","n/e","n/e"
"02.06.2018 00:30 - 02.06.2018 00:45","n/e","n/e"
"02.06.2018 00:45 - 02.06.2018 01:00","n/e","n/e"
"02.06.2018 01:00 - 02.06.2018 01:15","n/e","n/e"
"02.06.2018 01:15 - 02.06.2018 01:30","n/e","n/e"
"02.06.2018 01:30 - 02.06.2018 01:45","n/e","n/e"
"02.06.2018 01:45 - 02.06.2018 02:00","n/e","n/e"
"02.06.2018 02:00 - 02.06.2018 02:15","n/e","n/e"
"02.06.2018 02:15 - 02.06.2018 02:30","n/e","n/e"
"02.06.2018 02:30 - 02.06.2018 02:45","n/e","n/e"
"02.06.2018 02:45 - 02.06.2018 03:00","n/e","n/e"
"02.06.2018 03:00 - 02.06.2018 03:15","n/e","n/e"
"02.06.2018 03:15 - 02.06.2018 03:30","n/e","n/e"
"02.06.2018 03:30 - 02.06.2018 03:45","n/e","n/e"
"02.06.2018 03:45 - 02.06.2018 04:00","n/e","n/e"
"02.06.2018 04:00 - 02.06.2018 04:15","n/e","n/e"
"02.06.2018 04:15 - 02.06.2018 04:30","n/e","n/e"
"02.06.2018 04:30 - 02.06.2018 04:45","n/e","n/e"
"02.06.2018 04:45 - 02.06.2018 05:00","n/e","n/e"
"02.06.2018 05:00 - 02.06.2018 05:15","n/e","n/e"
"02.06.2018 05:15 - 02.06.2018 05:30","n/e","n/e"
"02.06.2018 05:30 - 02.06.2018 05:45","n/e","n/e"
"02.06.2018 05:45 - 02.06.2018 06:00","n/e","n/e"
"02.06.2018 06:00 - 02.06.2018 06:15","n/e","n/e"
"02.06.2018 06:15 - 02.06.2018 06:30","n/e","n/e"
"02.06.2018 06:30 - 02.06.2018 06:45","n/e","n/e"
"02.06.2018 06:45 - 02.06.2018 07:00","n/e","n/e"
"02.06.2018 07:00 - 02.06.2018 07:15","n/e","n/e"
"02.06.2018 07:15 - 02.06.2018 07:30","n/e","n/e"
"02.06.2018 07:30 - 02.06.2018 07:45","n/e","n/e"
"02.06.2018 07:45 - 02.06.2018 08:00","n/e","n/e"
"02.06.2018 08:00 - 02.06.2018 08:15","n/e","n/e"
"02.06.2018 08:15 - 02.06.2018 08:30","n/e","n/e"
"02.06.2018 08:30 - 02.06.2018 08:45","n/e","n/e"
"02.06.2018 08:45 - 02.06.2018 09:00","n/e","n/e"
"02.06.2018 09:00 - 02.06.2018 09:15","n/e","n/e"
"02.06.2018 09:15 - 02.06.2018 09:30","n/e","n/e"
"02.06.2018 09:30 - 02.06.2018 09:45","n/e","n/e"
"02.06.2018 09:45 - 02.06.2018 10:00","n/e","n/e"
"02.06.2018 10:00 - 02.06.2018 10:15","n/e","n/e"
"02.06.2018 10:15 - 02.06.2018 10:30","n/e","n/e"
"02.06.2018 10:30 - 02.06.2018 10:45","n/e","n/e"
"02.06.2018 10:45 - 02.06.2018 11:00","n/e","n/e"
"02.06.2018 11:00 - 02.06.2018 11:15","n/e","n/e"
"02.06.2018 11:15 - 02.06.2018 11:30","n/e","n/e"
"02.06.2018 11:30 - 02.06.2018 11:45","n/e","n/e"
"02.06.2018 11:45 - 02.06.2018 12:00","n/e","n/e"
"02.06.2018 12:00 - 02.06.2018 12:15","n/e","n/e"
"02.06.2018 12:15 - 02.06.2018 12:30","n/e","n/e"
"02.06.2018 12:30 - 02.06.2018 12:45","n/e","n/e"
"02.06.2018 12:45 - 02.06.2018 13:00","n/e","n/e"
"02.06.2018 13:00 - 02.06.2018 13:15","n/e","n/e"
"02.06.2018 13:15 - 02.06.2018 13:30","n/e","n/e"
"02.06.2018 13:30 - 02.06.2018 13:45","n/e","n/e"
"02.06.2018 13:45 - 02.06.2018 14:00","n/e","n/e"
"02.06.2018 14:00 - 02.06.2018 14:15","n/e","n/e"
"02.06.2018 14:15 - 02.06.2018 14:30","n/e","n/e"
"02.06.2018 14:30 - 02.06.2018 14:45","n/e","n/e"
"02.06.2018 14:45 - 02.06.2018 15:00","n/e","n/e"
"02.06.2018 15:00 - 02.06.2018 15:15","n/e","n/e"
"02.06.2018 15:15 - 02.06.2018 15:30","n/e","n/e"
"02.06.2018 15:30 - 02.06.2018 15:45","n/e","n/e"
"02.06.2018 15:45 - 02.06.2018 16:00","n/e","n/e"
"02.06.2018 16:00 - 02.06.2018 16:15","n/e","n/e"
"02.06.2018 16:15 - 02.06.2018 16:30","n/e","n/e"
"02.06.2018 16:30 - 02.06.2018 16:45","n/e","n/e"
"02.06.2018 16:45 - 02.06.2018 17:00","n/e","n/e"
"02.06.2018 17:00 - 02.06.2018 17:15","n/e","n/e"
"02.06.2018 17:15 - 02.06.2018 17:30","n/e","n/e"
"02.06.2018 17:30 - 02.06.2018 17:45","n/e","n/e"
"02.06.2018 17:45 - 02.06.2018 18:00","n/e","n/e"
"02.06.2018 18:00 - 02.06.2018 18:15","n/e","n/e"
"02.06.2018 18:15 - 02.06.2018 18:30","n/e","n/e"
"02.06.2018 18:30 - 02.06.2018 18:45","n/e","n/e"
"02.06.2018 18:45 - 02.06.2018 19:00","n/e","n/e"
"02.06.2018 19:00 - 02.06.2018 19:15","n/e","n/e"
"02.06.2018 19:15 - 02.06.2018 19:30","n/e","n/e"
"02.06.2018 19:30 - 02.06.2018 19:45","n/e","n/e"
"02.06.2018 19:45 - 02.06.2018 20:00","n/e","n/e"
"02.06.2018 20:00 - 02.06.2018 20:15","n/e","n/e"
"02.06.2018 20:15 - 02.06.2018 20:30","n/e","n/e"
"02.06.2018 20:30 - 02.06.2018 20:45","n/e","n/e"
"02.06.2018 20:45 - 02.06.2018 21:00","n/e","n/e"
"02.06.2018 21:00 - 02.06.2018 21:15","n/e","n/e"
"02.06.2018 21:15 - 02.06.2018 21:30","n/e","n/e"
"02.06.2018 21:30 - 02.06.2018 21:45","n/e","n/e"
"02.06.2018 21:45 - 02.06.2018 22:00","n/e","n/e"
"02.06.2018 22:00 - 02.06.2018 22:15","n/e","n/e"
"02.06.2018 22:15 - 02.06.2018 22:30","n/e","n/e"
"02.06.2018 22:30 - 02.06.2018 22:45","n/e","n/e"
"02.06.2018 22:45 - 02.06.2018 23:00","n/e","n/e"
"02.06.2018 23:00 - 02.06.2018 23:15","n/e","n/e"
"02.06.2018 23:15 - 02.06.2018 23:30","n/e","n/e"
"02.06.2018 23:30 - 02.06.2018 23:45","n/e","n/e"
"02.06.2018 23:45 - 03.06.2018 00:00","n/e","n/e"
"03.06.2018 00:00 - 03.06.2018 00:15","n/e","n/e"
"03.06.2018 00:15 - 03.06.2018 00:30","n/e","n/e"
"03.06.2018 00:30 - 03.06.2018 00:45","n/e","n/e"
"03.06.2018 00:45 - 03.06.2018 01:00","n/e","n/e"
"03.06.2018 01:00 - 03.06.2018 01:15","n/e","n/e"
"03.06.2018 01:15 - 03.06.2018 01:30","n/e","n/e"
"03.06.2018 01:30 - 03.06.2018 01:45","n/e","n/e"
"03.06.2018 01:45 - 03.06.2018 02:00","n/e","n/e"
"03.06.2018 02:00 - 03.06.2018 02:15","n/e","n/e"
"03.06.2018 02:15 - 03.06.2018 02:30","n/e","n/e"
"03.06.2018 02:30 - 03.06.2018 02:45","n/e","n/e"
"03.06.2018 02:45 - 03.06.2018 03:00","n/e","n/e"
"03.06.2018 03:00 - 03.06.2018 03:15","n/e","n/e"
"03.06.2018 03:15 - 03.06.2018 03:30","n/e","n/e"
"03.06.2018 03:30 - 03.06.2018 03:45","n/e","n/e"
"03.06.2018 03:45 - 03.06.2018 04:00","n/e","n/e"
"03.06.2018 04:00 - 03.06.2018 04:15","n/e","n/e"
"03.06.2018 04:15 - 03.06.2018 04:30","n/e","n/e"
"03.06.2018 04:30 - 03.06.2018 04:45","n/e","n/e"
"03.06.2018 04:45 - 03.06.2018 05:00","n/e","n/e"
"03.06.2018 05:00 - 03.06.2018 05:15","n/e","n/e"
"03.06.2018 05:15 - 03.06.2018 05:30","n/e","n/e"
"03.06.2018 05:30 - 03.06.2018 05:45","n/e","n/e"
"03.06.2018 05:45 - 03.06.2018 06:00","n/e","n/e"
"03.06.2018 06:00 - 03.06.2018 06:15","n/e","n/e"
"03.06.2018 06:15 - 03.06.2018 06:30","n/e","n/e"
"03.06.2018 06:30 - 03.06.2018 06:45","n/e","n/e"
"03.06.2018 06:45 - 03.06.2018 07:00","n/e","n/e"
"03.06.2018 07:00 - 03.06.2018 07:15","n/e","n/e"
"03.06.2018 07:15 - 03.06.2018 07:30","n/e","n/e"
"03.06.2018 07:30 - 03.06.2018 07:45","n/e","n/e"
"03.06.2018 07:45 - 03.06.2018 08:00","n/e","n/e"
"03.06.2018 08:00 - 03.06.2018 08:15","n/e","n/e"
"03.06.2018 08:15 - 03.06.2018 08:30","n/e","n/e"
"03.06.2018 08:30 - 03.06.2018 08:45","n/e","n/e"
"03.06.2018 08:45 - 03.06.2018 09:00","n/e","n/e"
"03.06.2018 09:00 - 03.06.2018 09:15","n/e","n/e"
"03.06.2018 09:15 - 03.06.2018 09:30","n/e","n/e"
"03.06.2018 09:30 - 03.06.2018 09:45","n/e","n/e"
"03.06.2018 09:45 - 03.06.2018 10:00","n/e","n/e"
"03.06.2018 10:00 - 03.06.2018 10:15","n/e","n/e"
"03.06.2018 10:15 - 03.06.2018 10:30","n/e","n/e"
"03.06.2018 10:30 - 03.06.2018 10:45","n/e","n/e"
"03.06.2018 10:45 - 03.06.2018 11:00","n/e","n/e"
"03.06.2018 11:00 - 03.06.2018 11:15","n/e","n/e"
"03.06.2018 11:15 - 03.06.2018 11:30","n/e","n/e"
"03.06.2018 11:30 - 03.06.2018 11:45","n/e","n/e"
"03.06.2018 11:45 - 03.06.2018 12:00","n/e","n/e"
"03.06.2018 12:00 - 03.06.2018 12:15","n/e","n/e"
"03.06.2018 12:15 - 03.06.2018 12:30","n/e","n/e"
"03.06.2018 12:30 - 03.06.2018 12:45","n/e","n/e"
"03.06.2018 12:45 - 03.06.2018 13:00","n/e","n/e"
"03.06.2018 13:00 - 03.06.2018 13:15","n/e","n/e"
"03.06.2018 13:15 - 03.06.2018 13:30","n/e","n/e"
"03.06.2018 13:30 - 03.06.2018 13:45","n/e","n/e"
"03.06.2018 13:45 - 03.06.2018 14:00","n/e","n/e"
"03.06.2018 14:00 - 03.06.2018 14:15","n/e","n/e"
"03.06.2018 14:15 - 03.06.2018 14:30","n/e","n/e"
"03.06.2018 14:30 - 03.06.2018 14:45","n/e","n/e"
"03.06.2018 14:45 - 03.06.2018 15:00","n/e","n/e"
"03.06.2018 15:00 - 03.06.2018 15:15","n/e","n/e"
"03.06.2018 15:15 - 03.06.2018 15:30","n/e","n/e"
"03.06.2018 15:30 - 03.06.2018 15:45","n/e","n/e"
"03.06.2018 15:45 - 03.06.2018 16:00","n/e","n/e"
"03.06.2018 16:00 - 03.06.2018 16:15","n/e","n/e"
"03.06.2018 16:15 - 03.06.2018 16:30","n/e","n/e"
"03.06.2018 16:30 - 03.06.2018 16:45","n/e","n/e"
"03.06.2018 16:45 - 03.06.2018 17:00","n/e","n/e"
"03.06.2018 17:00 - 03.06.2018 17:15","n/e","n/e"
"03.06.2018 17:15 - 03.06.2018 17:30","n/e","n/e"
"03.06.2018 17:30 - 03.06.2018 17:45","n/e","n/e"
"03.06.2018 17:45 - 03.06.2018 18:00","n/e","n/e"
"03.06.2018 18:00 - 03.06.2018 18:15","n/e","n/e"
"03.06.2018 18:15 - 03.06.2018 18:30","n/e","n/e"
"03.06.2018 18:30 - 03.06.2018 18:45","n/e","n/e"
"03.06.2018 18:45 - 03.06.2018 19:00","n/e","n/e"
"03.06.2018 19:00 - 03.06.2018 19:15","n/e","n/e"
"03.06.2018 19:15 - 03.06.2018 19:30","n/e","n/e"
"03.06.2018 19:30 - 03.06.2018 19:45","n/e","n/e"
"03.06.2018 19:45 - 03.06.2018 20:00","n/e","n/e"
"03.06.2018 20:00 - 03.06.2018 20:15","n/e","n/e"
"03.06.2018 20:15 - 03.06.2018 20:30","n/e","n/e"
"03.06.2018 20:30 - 03.06.2018 20:45","n/e","n/e"
"03.06.2018 20:45 - 03.06.2018 21:00","n/e","n/e"
"03.06.2018 21:00 - 03.06.2018 21:15","n/e","n/e"
"03.06.2018 21:15 - 03.06.2018 21:30","n/e","n/e"
"03.06.2018 21:30 - 03.06.2018 21:45","n/e","n/e"
"03.06.2018 21:45 - 03.06.2018 22:00","n/e","n/e"
"03.06.2018 22:00 - 03.06.2018 22:15","n/e","n/e"
"03.06.2018 22:15 - 03.06.2018 22:30","n/e","n/e"
"03.06.2018 22:30 - 03.06.2018 22:45","n/e","n/e"
"03.06.2018 22:45 - 03.06.2018 23:00","n/e","n/e"
"03.06.2018 23:00 - 03.06.2018 23:15","n/e","n/e"
"03.06.2018 23:15 - 03.06.2018 23:30","n/e","n/e"
"03.06.2018 23:30 - 03.06.2018 23:45","n/e","n/e"
"03.06.2018 23:45 - 04.06.2018 00:00","n/e","n/e"
"04.06.2018 00:00 - 04.06.2018 00:15","n/e","n/e"
"04.06.2018 00:15 - 04.06.2018 00:30","n/e","n/e"
"04.06.2018 00:30 - 04.06.2018 00:45","n/e","n/e"
"04.06.2018 00:45 - 04.06.2018 01:00","n/e","n/e"
"04.06.2018 01:00 - 04.06.2018 01:15","n/e","n/e"
"04.06.2018 01:15 - 04.06.2018 01:30","n/e","n/e"
"04.06.2018 01:30 - 04.06.2018 01:45","n/e","n/e"
"04.06.2018 01:45 - 04.06.2018 02:00","n/e","n/e"
"04.06.2018 02:00 - 04.06.2018 02:15","n/e","n/e"
"04.06.2018 02:15 - 04.06.2018 02:30","n/e","n/e"
"04.06.2018 02:30 - 04.06.2018 02:45","n/e","n/e"
"04.06.2018 02:45 - 04.06.2018 03:00","n/e","n/e"
"04.06.2018 03:00 - 04.06.2018 03:15","n/e","n/e"
"04.06.2018 03:15 - 04.06.2018 03:30","n/e","n/e"
"04.06.2018 03:30 - 04.06.2018 03:45","n/e","n/e"
"04.06.2018 03:45 - 04.06.2018 04:00","n/e","n/e"
"04.06.2018 04:00 - 04.06.2018 04:15","n/e","n/e"
"04.06.2018 04:15 - 04.06.2018 04:30","n/e","n/e"
"04.06.2018 04:30 - 04.06.2018 04:45","n/e","n/e"
"04.06.2018 04:45 - 04.06.2018 05:00","n/e","n/e"
"04.06.2018 05:00 - 04.06.2018 05:15","n/e","n/e"
"04.06.2018 05:15 - 04.06.2018 05:30","n/e","n/e"
"04.06.2018 05:30 - 04.06.2018 05:45","n/e","n/e"
"04.06.2018 05:45 - 04.06.2018 06:00","n/e","n/e"
"04.06.2018 06:00 - 04.06.2018 06:15","n/e","n/e"
"04.06.2018 06:15 - 04.06.2018 06:30","n/e","n/e"
"04.06.2018 06:30 - 04.06.2018 06:45","n/e","n/e"
"04.06.2018 06:45 - 04.06.2018 07:00","n/e","n/e"
"04.06.2018 07:00 - 04.06.2018 07:15","n/e","n/e"
"04.06.2018 07:15 - 04.06.2018 07:30","n/e","n/e"
"04.06.2018 07:30 - 04.06.2018 07:45","n/e","n/e"
"04.06.2018 07:45 - 04.06.2018 08:00","n/e","n/e"
"04.06.2018 08:00 - 04.06.2018 08:15","n/e","n/e"
"04.06.2018 08:15 - 04.06.2018 08:30","n/e","n/e"
"04.06.2018 08:30 - 04.06.2018 08:45","n/e","n/e"
"04.06.2018 08:45 - 04.06.2018 09:00","n/e","n/e"
"04.06.2018 09:00 - 04.06.2018 09:15","n/e","n/e"
"04.06.2018 09:15 - 04.06.2018 09:30","n/e","n/e"
"04.06.2018 09:30 - 04.06.2018 09:45","n/e","n/e"
"04.06.2018 09:45 - 04.06.2018 10:00","n/e","n/e"
"04.06.2018 10:00 - 04.06.2018 10:15","n/e","n/e"
"04.06.2018 10:15 - 04.06.2018 10:30","n/e","n/e"
"04.06.2018 10:30 - 04.06.2018 10:45","n/e","n/e"
"04.06.2018 10:45 - 04.06.2018 11:00","n/e","n/e"
"04.06.2018 11:00 - 04.06.2018 11:15","n/e","n/e"
"04.06.2018 11:15 - 04.06.2018 11:30","n/e","n/e"
"04.06.2018 11:30 - 04.06.2018 11:45","n/e","n/e"
"04.06.2018 11:45 - 04.06.2018 12:00","n/e","n/e"
"04.06.2018 12:00 - 04.06.2018 12:15","n/e","n/e"
"04.06.2018 12:15 - 04.06.2018 12:30","n/e","n/e"
"04.06.2018 12:30 - 04.06.2018 12:45","n/e","n/e"
"04.06.2018 12:45 - 04.06.2018 13:00","n/e","n/e"
"04.06.2018 13:00 - 04.06.2018 13:15","n/e","n/e"
"04.06.2018 13:15 - 04.06.2018 13:30","n/e","n/e"
"04.06.2018 13:30 - 04.06.2018 13:45","n/e","n/e"
"04.06.2018 13:45 - 04.06.2018 14:00","n/e","n/e"
"04.06.2018 14:00 - 04.06.2018 14:15","n/e","n/e"
"04.06.2018 14:15 - 04.06.2018 14:30","n/e","n/e"
"04.06.2018 14:30 - 04.06.2018 14:45","n/e","n/e"
"04.06.2018 14:45 - 04.06.2018 15:00","n/e","n/e"
"04.06.2018 15:00 - 04.06.2018 15:15","n/e","n/e"
"04.06.2018 15:15 - 04.06.2018 15:30","n/e","n/e"
"04.06.2018 15:30 - 04.06.2018 15:45","n/e","n/e"
"04.06.2018 15:45 - 04.06.2018 16:00","n/e","n/e"
"04.06.2018 16:00 - 04.06.2018 16:15","n/e","n/e"
"04.06.2018 16:15 - 04.06.2018 16:30","n/e","n/e"
"04.06.2018 16:30 - 04.06.2018 16:45","n/e","n/e"
"04.06.2018 16:45 - 04.06.2018 17:00","n/e","n/e"
"04.06.2018 17:00 - 04.06.2018 17:15","n/e","n/e"
"04.06.2018 17:15 - 04.06.2018 17:30","n/e","n/e"
"04.06.2018 17:30 - 04.06.2018 17:45","n/e","n/e"
"04.06.2018 17:45 - 04.06.2018 18:00","n/e","n/e"
"04.06.2018 18:00 - 04.06.2018 18:15","n/e","n/e"
"04.06.2018 18:15 - 04.06.2018 18:30","n/e","n/e"
"04.06.2018 18:30 - 04.06.2018 18:45","n/e","n/e"
"04.06.2018 18:45 - 04.06.2018 19:00","n/e","n/e"
"04.06.2018 19:00 - 04.06.2018 19:15","n/e","n/e"
"04.06.2018 19:15 - 04.06.2018 19:30","n/e","n/e"
"04.06.2018 19:30 - 04.06.2018 19:45","n/e","n/e"
"04.06.2018 19:45 - 04.06.2018 20:00","n/e","n/e"
"04.06.2018 20:00 - 04.06.2018 20:15","n/e","n/e"
"04.06.2018 20:15 - 04.06.2018 20:30","n/e","n/e"
"04.06.2018 20:30 - 04.06.2018 20:45","n/e","n/e"
"04.06.2018 20:45 - 04.06.2018 21:00","n/e","n/e"
"04.06.2018 21:00 - 04.06.2018 21:15","n/e","n/e"
"04.06.2018 21:15 - 04.06.2018 21:30","n/e","n/e"
"04.06.2018 21:30 - 04.06.2018 21:45","n/e","n/e"
"04.06.2018 21:45 - 04.06.2018 22:00","n/e","n/e"
"04.06.2018 22:00 - 04.06.2018 22:15","n/e","n/e"
"04.06.2018 22:15 - 04.06.2018 22:30","n/e","n/e"
"04.06.2018 22:30 - 04.06.2018 22:45","n/e","n/e"
"04.06.2018 22:45 - 04.06.2018 23:00","n/e","n/e"
"04.06.2018 23:00 - 04.06.2018 23:15","n/e","n/e"
"04.06.2018 23:15 - 04.06.2018 23:30","n/e","n/e"
"04.06.2018 23:30 - 04.06.2018 23:45","n/e","n/e"
"04.06.2018 23:45 - 05.06.2018 00:00","n/e","n/e"
"05.06.2018 00:00 - 05.06.2018 00:15","n/e","n/e"
"05.06.2018 00:15 - 05.06.2018 00:30","n/e","n/e"
"05.06.2018 00:30 - 05.06.2018 00:45","n/e","n/e"
"05.06.2018 00:45 - 05.06.2018 01:00","n/e","n/e"
"05.06.2018 01:00 - 05.06.2018 01:15","n/e","n/e"
"05.06.2018 01:15 - 05.06.2018 01:30","n/e","n/e"
"05.06.2018 01:30 - 05.06.2018 01:45","n/e","n/e"
"05.06.2018 01:45 - 05.06.2018 02:00","n/e","n/e"
"05.06.2018 02:00 - 05.06.2018 02:15","n/e","n/e"
"05.06.2018 02:15 - 05.06.2018 02:30","n/e","n/e"
"05.06.2018 02:30 - 05.06.2018 02:45","n/e","n/e"
"05.06.2018 02:45 - 05.06.2018 03:00","n/e","n/e"
"05.06.2018 03:00 - 05.06.2018 03:15","n/e","n/e"
"05.06.2018 03:15 - 05.06.2018 03:30","n/e","n/e"
"05.06.2018 03:30 - 05.06.2018 03:45","n/e","n/e"
"05.06.2018 03:45 - 05.06.2018 04:00","n/e","n/e"
"05.06.2018 04:00 - 05.06.2018 04:15","n/e","n/e"
"05.06.2018 04:15 - 05.06.2018 04:30","n/e","n/e"
"05.06.2018 04:30 - 05.06.2018 04:45","n/e","n/e"
"05.06.2018 04:45 - 05.06.2018 05:00","n/e","n/e"
"05.06.2018 05:00 - 05.06.2018 05:15","n/e","n/e"
"05.06.2018 05:15 - 05.06.2018 05:30","n/e","n/e"
"05.06.2018 05:30 - 05.06.2018 05:45","n/e","n/e"
"05.06.2018 05:45 - 05.06.2018 06:00","n/e","n/e"
"05.06.2018 06:00 - 05.06.2018 06:15","n/e","n/e"
"05.06.2018 06:15 - 05.06.2018 06:30","n/e","n/e"
"05.06.2018 06:30 - 05.06.2018 06:45","n/e","n/e"
"05.06.2018 06:45 - 05.06.2018 07:00","n/e","n/e"
"05.06.2018 07:00 - 05.06.2018 07:15","n/e","n/e"
"05.06.2018 07:15 - 05.06.2018 07:30","n/e","n/e"
"05.06.2018 07:30 - 05.06.2018 07:45","n/e","n/e"
